Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SCHL,Scholastic Corporation,46.84,1643613117,n/a,1992,Consumer Services,Books,https://www.nasdaq.com/symbol/schl
SCHN,"Schnitzer Steel Industries, Inc.",27.93,745798199.6,n/a,1993,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/schn
SCHW,The Charles Schwab Corporation,48.63,65702183137,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/schw
SCHW^C,The Charles Schwab Corporation,25.62,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/schw^c
SCHW^D,The Charles Schwab Corporation,25.8,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/schw^d
SCI,Service Corporation International,44.82,8110244706,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/sci
SCKT,"Socket Mobile, Inc.",2.0717,12188036.92,n/a,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/sckt
SCL,Stepan Company,87.03,1959574181,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/scl
SCM,Stellus Capital Investment Corporation,13.1,208994911,n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/scm
SCON,Superconductor Technologies Inc.,1.93,5926275.37,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/scon
SCOR,"comScore, Inc.",17.02,1002471788,n/a,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/scor
SCPH,scPharmaceuticals Inc.,4.83,89689665.87,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/scph
SCS,Steelcase Inc.,17.19,2006095106,n/a,1998,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/scs
SCSC,"ScanSource, Inc.",42.31,1083846977,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/scsc
SCVL,"Shoe Carnival, Inc.",40.74,655469852.5,n/a,1993,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/scvl
SCWX,SecureWorks Corp.,18.07,1478063026,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/scwx
SCX,L.S. Starrett Company (The),5.79,40663552.14,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/scx
SCYX,"SCYNEXIS, Inc.",0.9948,46769250.65,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/scyx
SCZ,iShares MSCI EAFE Small-Cap ETF,57.935,9362296000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/scz
SD,"SandRidge Energy, Inc.",10.74,380225083.9,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sd
SDG,iShares MSCI Global Impact ETF,56.0389,39227230,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sdg
SDI,Standard Diversified Inc.,16.03,266663249.9,n/a,n/a,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/sdi
SDLP,Seadrill Partners LLC,3.35,307602360,n/a,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdlp
SDPI,"Superior Drilling Products, Inc.",2.91,71397301.05,n/a,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/sdpi
SDR,SandRidge Mississippian Trust II,1.15,57183750,n/a,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdr
SDRL,Seadrill Limited,18.91,1891000000,n/a,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdrl
SDT,SandRidge Mississippian Trust I,1.14,31920000,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdt
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,20.4285,4085740.857,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sdvy
SE,Sea Limited,13.05,4371309080,n/a,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/se
SEAC,"SeaChange International, Inc.",1.6,57198609.6,n/a,1996,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/seac
SEAS,"SeaWorld Entertainment, Inc.",25.6,2248479616,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/seas
SEB,Seaboard Corporation,3605.47,4220382909,n/a,1996,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seb
SECO,Secoo Holding Limited,9.51,90952460.76,9563876,2017,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/seco
SEDG,"SolarEdge Technologies, Inc.",37.75,1727121579,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/sedg
SEE,Sealed Air Corporation,35.35,5547303133,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/see
SEED,Origin Agritech Limited,8.3,1937477.3,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/seed
SEIC,SEI Investments Company,55.56,8641817290,n/a,1981,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seic
SEII,Sharing Economy International Inc.,2.6,19190121.6,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/seii
SELB,"Selecta Biosciences, Inc.",5.8,129897861.4,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/selb
